交易时间,开盘价,收盘价,最低价,最高价,成交量,结算价,date,close,open,high,low,volume,settlement
1719331200000,0.2376,0.2682,0.2369,0.2695,78,0.27140000462532,2024-06-25,0.2682,0.2376,0.2695,0.2369,78.0,0.27140000462532
1719417600000,0.2546,0.2457,0.2454,0.2557,58,0.240500003099442,2024-06-26,0.2457,0.2546,0.2557,0.2454,58.0,0.240500003099442
1719504000000,0.243,0.2278,0.2236,0.2522,53,0.228300005197525,2024-06-27,0.2278,0.243,0.2522,0.2236,53.0,0.228300005197525
1719763200000,0.2296,0.2008,0.2007,0.2312,64,0.224299997091293,2024-06-30,0.2008,0.2296,0.2312,0.2007,64.0,0.224299997091293
1719849600000,0.2158,0.2109,0.2075,0.2188,73,0.211199998855591,2024-07-01,0.2109,0.2158,0.2188,0.2075,73.0,0.211199998855591
1719936000000,0.2126,0.2147,0.1964,0.2155,133,0.206000000238419,2024-07-02,0.2147,0.2126,0.2155,0.1964,133.0,0.206000000238419
1720022400000,0.2116,0.1961,0.1961,0.2135,43,0.195700004696846,2024-07-03,0.1961,0.2116,0.2135,0.1961,43.0,0.195700004696846
1720108800000,0.1852,0.202,0.1852,0.2065,26,0.202000007033348,2024-07-04,0.202,0.1852,0.2065,0.1852,26.0,0.202000007033348
1720368000000,0.1924,0.179,0.1789,0.1964,68,0.179000005125999,2024-07-07,0.179,0.1924,0.1964,0.1789,68.0,0.179000005125999
1720454400000,0.1797,0.203,0.1709,0.203,18,0.19820000231266,2024-07-08,0.203,0.1797,0.203,0.1709,18.0,0.19820000231266
1720540800000,0.2087,0.1988,0.1978,0.2108,22,0.198300004005432,2024-07-09,0.1988,0.2087,0.2108,0.1978,22.0,0.198300004005432
1720627200000,0.2129,0.2235,0.206,0.2317,86,0.223499998450279,2024-07-10,0.2235,0.2129,0.2317,0.206,86.0,0.223499998450279
1720713600000,0.22,0.2265,0.2158,0.2292,23,0.224199995398521,2024-07-11,0.2265,0.22,0.2292,0.2158,23.0,0.224199995398521
1720972800000,0.2131,0.2134,0.209,0.2148,58,0.209000006318092,2024-07-14,0.2134,0.2131,0.2148,0.209,58.0,0.209000006318092
1721059200000,0.2112,0.2207,0.2112,0.2207,6,0.234099999070168,2024-07-15,0.2207,0.2112,0.2207,0.2112,6.0,0.234099999070168
1721145600000,0.2226,0.2156,0.2122,0.2226,8,0.232199996709824,2024-07-16,0.2156,0.2226,0.2226,0.2122,8.0,0.232199996709824
1721232000000,0.2147,0.225,0.2065,0.225,138,0.254299998283386,2024-07-17,0.225,0.2147,0.225,0.2065,138.0,0.254299998283386
1721318400000,0.2238,0.2364,0.2162,0.2368,182,0.260300010442734,2024-07-18,0.2364,0.2238,0.2368,0.2162,182.0,0.260300010442734
1721577600000,0.2417,0.2211,0.2169,0.2417,47,0.260600000619888,2024-07-21,0.2211,0.2417,0.2417,0.2169,47.0,0.260600000619888
1721664000000,0.2304,0.1813,0.1813,0.2304,20,0.207499995827675,2024-07-22,0.1813,0.2304,0.2304,0.1813,20.0,0.207499995827675
1721750400000,0.1818,0.1489,0.1464,0.1869,90,0.186299994587898,2024-07-23,0.1489,0.1818,0.1869,0.1464,90.0,0.186299994587898
1721836800000,0.1514,0.1628,0.149,0.1628,151,0.18359999358654,2024-07-24,0.1628,0.1514,0.1628,0.149,151.0,0.18359999358654
1721923200000,0.1696,0.1827,0.1696,0.1834,105,0.194000005722046,2024-07-25,0.1827,0.1696,0.1834,0.1696,105.0,0.194000005722046
1722182400000,0.1818,0.1691,0.1627,0.1818,91,0.175500005483627,2024-07-28,0.1691,0.1818,0.1818,0.1627,91.0,0.175500005483627
1722268800000,0.1668,0.1604,0.1555,0.1668,52,0.168200001120567,2024-07-29,0.1604,0.1668,0.1668,0.1555,52.0,0.168200001120567
1722355200000,0.1874,0.2084,0.1874,0.2084,18,0.225600004196167,2024-07-30,0.2084,0.1874,0.2084,0.1874,18.0,0.225600004196167
1722441600000,0.2095,0.1992,0.1976,0.2095,49,0.206300005316734,2024-07-31,0.1992,0.2095,0.2095,0.1976,49.0,0.206300005316734
1722528000000,0.2024,0.1805,0.1805,0.2024,11,0.180600002408028,2024-08-01,0.1805,0.2024,0.2024,0.1805,11.0,0.180600002408028
1722787200000,0.1805,0.1568,0.1568,0.1805,43,0.156800001859665,2024-08-04,0.1568,0.1805,0.1805,0.1568,43.0,0.156800001859665
1722873600000,0.1807,0.1705,0.1623,0.1807,65,0.17229999601841,2024-08-05,0.1705,0.1807,0.1807,0.1623,65.0,0.17229999601841
1722960000000,0.1743,0.167,0.167,0.1743,8,0.165800005197525,2024-08-06,0.167,0.1743,0.1743,0.167,8.0,0.165800005197525
1723046400000,0.163,0.1605,0.15,0.163,7,0.158299997448921,2024-08-07,0.1605,0.163,0.163,0.15,7.0,0.158299997448921
1723132800000,0.1494,0.147,0.147,0.1494,2,0.144999995827675,2024-08-08,0.147,0.1494,0.1494,0.147,2.0,0.144999995827675
1723392000000,0.1448,0.1422,0.1422,0.1488,40,0.139899998903275,2024-08-11,0.1422,0.1448,0.1488,0.1422,40.0,0.139899998903275
1723478400000,0.1427,0.1486,0.1391,0.1486,36,0.152300000190735,2024-08-12,0.1486,0.1427,0.1486,0.1391,36.0,0.152300000190735
1723564800000,0.1415,0.1442,0.1415,0.1451,15,0.138400003314018,2024-08-13,0.1442,0.1415,0.1451,0.1415,15.0,0.138400003314018
1723651200000,0.1435,0.1392,0.1368,0.1534,122,0.144800007343292,2024-08-14,0.1392,0.1435,0.1534,0.1368,122.0,0.144800007343292
1723737600000,0.141,0.1414,0.1409,0.1491,68,0.14190000295639,2024-08-15,0.1414,0.141,0.1491,0.1409,68.0,0.14190000295639
1723996800000,0.1514,0.1377,0.1372,0.1525,72,0.137700006365776,2024-08-18,0.1377,0.1514,0.1525,0.1372,72.0,0.137700006365776
1724083200000,0.1348,0.1223,0.1218,0.1348,110,0.122299998998642,2024-08-19,0.1223,0.1348,0.1348,0.1218,110.0,0.122299998998642
1724169600000,0.117,0.114,0.1138,0.124,113,0.113899998366833,2024-08-20,0.114,0.117,0.124,0.1138,113.0,0.113899998366833
1724256000000,0.1174,0.105,0.105,0.1174,107,0.10530000180006,2024-08-21,0.105,0.1174,0.1174,0.105,107.0,0.10530000180006
1724342400000,0.1066,0.1081,0.1012,0.1118,256,0.10809999704361,2024-08-22,0.1081,0.1066,0.1118,0.1012,256.0,0.10809999704361
1724601600000,0.1128,0.1053,0.1045,0.1129,126,0.106600001454353,2024-08-25,0.1053,0.1128,0.1129,0.1045,126.0,0.106600001454353
1724688000000,0.0995,0.0951,0.095,0.1,297,0.0949999988079071,2024-08-26,0.0951,0.0995,0.1,0.095,297.0,0.0949999988079071
1724774400000,0.0966,0.0961,0.092,0.0982,419,0.0961000025272369,2024-08-27,0.0961,0.0966,0.0982,0.092,419.0,0.0961000025272369
1724860800000,0.0896,0.1044,0.0856,0.1069,596,0.103900000452995,2024-08-28,0.1044,0.0896,0.1069,0.0856,596.0,0.103900000452995
1724947200000,0.1063,0.1323,0.1059,0.1451,717,0.130500003695488,2024-08-29,0.1323,0.1063,0.1451,0.1059,717.0,0.130500003695488
1725206400000,0.1101,0.0964,0.0964,0.1113,142,0.096500001847744,2024-09-01,0.0964,0.1101,0.1113,0.0964,142.0,0.096500001847744
1725292800000,0.0964,0.1084,0.0964,0.1108,185,0.108400002121925,2024-09-02,0.1084,0.0964,0.1108,0.0964,185.0,0.108400002121925
1725379200000,0.1034,0.1089,0.1001,0.1206,327,0.108900003135204,2024-09-03,0.1089,0.1034,0.1206,0.1001,327.0,0.108900003135204
1725465600000,0.1185,0.1175,0.1122,0.1185,266,0.116899996995926,2024-09-04,0.1175,0.1185,0.1185,0.1122,266.0,0.116899996995926
1725552000000,0.1222,0.097,0.0968,0.1224,458,0.0970000028610229,2024-09-05,0.097,0.1222,0.1224,0.0968,458.0,0.0970000028610229
1725811200000,0.1013,0.1002,0.0914,0.1044,505,0.100400000810623,2024-09-08,0.1002,0.1013,0.1044,0.0914,505.0,0.100400000810623
1725897600000,0.106,0.1027,0.0922,0.1098,360,0.102899998426437,2024-09-09,0.1027,0.106,0.1098,0.0922,360.0,0.102899998426437
1725984000000,0.1033,0.1127,0.1033,0.1167,279,0.111900001764297,2024-09-10,0.1127,0.1033,0.1167,0.1033,279.0,0.111900001764297
1726070400000,0.1195,0.1074,0.1065,0.1237,247,0.10869999974966,2024-09-11,0.1074,0.1195,0.1237,0.1065,247.0,0.10869999974966
1726156800000,0.1058,0.0973,0.0972,0.1086,310,0.09740000218153,2024-09-12,0.0973,0.1058,0.1086,0.0972,310.0,0.09740000218153
1726588800000,0.0929,0.0955,0.0881,0.0996,455,0.0954999998211861,2024-09-17,0.0955,0.0929,0.0996,0.0881,455.0,0.0954999998211861
1726675200000,0.0977,0.104,0.0872,0.119,797,0.104000002145767,2024-09-18,0.104,0.0977,0.119,0.0872,797.0,0.104000002145767
1726761600000,0.0996,0.0986,0.0931,0.1037,310,0.097900003194809,2024-09-19,0.0986,0.0996,0.1037,0.0931,310.0,0.097900003194809
1727020800000,0.0991,0.0924,0.092,0.1059,1021,0.0931999981403351,2024-09-22,0.0924,0.0991,0.1059,0.092,1021.0,0.0931999981403351
1727107200000,0.0996,0.155,0.092,0.1559,1784,0.154899999499321,2024-09-23,0.155,0.0996,0.1559,0.092,1784.0,0.154899999499321
1727193600000,0.1721,0.1695,0.1627,0.208,537,0.171200007200241,2024-09-24,0.1695,0.1721,0.208,0.1627,537.0,0.171200007200241
1727280000000,0.1706,0.2432,0.1594,0.2457,570,0.248999997973442,2024-09-25,0.2432,0.1706,0.2457,0.1594,570.0,0.248999997973442
1727366400000,0.2579,0.4241,0.2579,0.4416,786,0.424100011587143,2024-09-26,0.4241,0.2579,0.4416,0.2579,786.0,0.424100011587143
1727625600000,0.5361,0.7961,0.2678,0.7961,989,0.79610002040863,2024-09-29,0.7961,0.5361,0.7961,0.2678,989.0,0.79610002040863
1728316800000,1.1332,1.1913,1.0499,1.2425,160,1.23889994621277,2024-10-07,1.1913,1.1332,1.2425,1.0499,160.0,1.23889994621277
1728403200000,1.0713,0.815,0.7999,1.0713,330,0.814999997615814,2024-10-08,0.815,1.0713,1.0713,0.7999,330.0,0.814999997615814
1728489600000,0.7949,0.7303,0.6778,0.8298,285,0.735199987888336,2024-10-09,0.7303,0.7949,0.8298,0.6778,285.0,0.735199987888336
1728576000000,0.6591,0.6086,0.5828,0.6685,144,0.62279999256134,2024-10-10,0.6086,0.6591,0.6685,0.5828,144.0,0.62279999256134
1728835200000,0.5938,0.6548,0.5801,0.6769,284,0.675700008869171,2024-10-13,0.6548,0.5938,0.6769,0.5801,284.0,0.675700008869171
1728921600000,0.6324,0.6009,0.6009,0.6324,16,0.604099988937378,2024-10-14,0.6009,0.6324,0.6324,0.6009,16.0,0.604099988937378
1729008000000,0.5591,0.5516,0.5402,0.5799,45,0.559099972248077,2024-10-15,0.5516,0.5591,0.5799,0.5402,45.0,0.559099972248077
1729094400000,0.5806,0.58,0.5714,0.5806,3,0.553799986839294,2024-10-16,0.58,0.5806,0.5806,0.5714,3.0,0.553799986839294
1729180800000,0.6047,0.6738,0.6017,0.7841,100,0.71450001001358,2024-10-17,0.6738,0.6047,0.7841,0.6017,100.0,0.71450001001358
1729440000000,0.6985,0.7125,0.6985,0.7599,42,0.725199997425079,2024-10-20,0.7125,0.6985,0.7599,0.6985,42.0,0.725199997425079
1729526400000,0.7,0.7023,0.6868,0.718,22,0.73309999704361,2024-10-21,0.7023,0.7,0.718,0.6868,22.0,0.73309999704361
1729612800000,0.7076,0.7037,0.7037,0.7515,39,0.71969997882843,2024-10-22,0.7037,0.7076,0.7515,0.7037,39.0,0.71969997882843
1729699200000,0.685,0.6872,0.6794,0.6877,17,0.689599990844727,2024-10-23,0.6872,0.685,0.6877,0.6794,17.0,0.689599990844727
1729785600000,0.77,0.7407,0.7332,0.77,15,0.75330001115799,2024-10-24,0.7407,0.77,0.77,0.7332,15.0,0.75330001115799
1730044800000,0.7354,0.73,0.7216,0.7354,18,0.745199978351593,2024-10-27,0.73,0.7354,0.7354,0.7216,18.0,0.745199978351593
1730131200000,0.7417,0.6847,0.684,0.7417,42,0.692200005054474,2024-10-28,0.6847,0.7417,0.7417,0.684,42.0,0.692200005054474
1730217600000,0.6854,0.6525,0.6445,0.6854,11,0.668200016021729,2024-10-29,0.6525,0.6854,0.6854,0.6445,11.0,0.668200016021729
1730304000000,0.7056,0.6723,0.6723,0.7131,16,0.679000020027161,2024-10-30,0.6723,0.7056,0.7131,0.6723,16.0,0.679000020027161
1730390400000,0.6726,0.6449,0.6449,0.6744,8,0.641300022602081,2024-10-31,0.6449,0.6726,0.6744,0.6449,8.0,0.641300022602081
1730649600000,0.7019,0.7019,0.7019,0.7019,0,0.701900005340576,2024-11-03,0.7019,0.7019,0.7019,0.7019,0.0,0.701900005340576
1730736000000,0.7874,0.7955,0.76,0.8048,25,0.805499970912933,2024-11-04,0.7955,0.7874,0.8048,0.76,25.0,0.805499970912933
1730822400000,0.843,0.7961,0.7961,0.843,6,0.779100000858307,2024-11-05,0.7961,0.843,0.843,0.7961,6.0,0.779100000858307
1730908800000,0.7731,0.8408,0.7731,0.8408,2,0.861800014972687,2024-11-06,0.8408,0.7731,0.8408,0.7731,2.0,0.861800014972687
1730995200000,0.84,0.84,0.84,0.84,0,0.839999973773956,2024-11-07,0.84,0.84,0.84,0.84,0.0,0.839999973773956
1731254400000,0.875,0.8991,0.875,0.8991,14,0.904399991035461,2024-11-10,0.8991,0.875,0.8991,0.875,14.0,0.904399991035461
1731340800000,0.9083,0.8737,0.8737,0.9539,18,0.900300025939941,2024-11-11,0.8737,0.9083,0.9539,0.8737,18.0,0.900300025939941
1731427200000,0.9271,0.9271,0.9271,0.9271,0,0.927100002765656,2024-11-12,0.9271,0.9271,0.9271,0.9271,0.0,0.927100002765656
1731513600000,0.9057,0.8598,0.8598,0.9057,20,0.842899978160858,2024-11-13,0.8598,0.9057,0.9057,0.8598,20.0,0.842899978160858
1731600000000,0.7763,0.7705,0.7699,0.7866,7,0.758800029754639,2024-11-14,0.7705,0.7763,0.7866,0.7699,7.0,0.758800029754639
1731859200000,0.7419,0.688,0.688,0.7419,50,0.703700006008148,2024-11-17,0.688,0.7419,0.7419,0.688,50.0,0.703700006008148
1731945600000,0.7238,0.7502,0.7063,0.7612,57,0.769400000572205,2024-11-18,0.7502,0.7238,0.7612,0.7063,57.0,0.769400000572205
1732032000000,0.7628,0.7713,0.7532,0.7713,91,0.777300000190735,2024-11-19,0.7713,0.7628,0.7713,0.7532,91.0,0.777300000190735
1732118400000,0.7634,0.7606,0.7606,0.7634,3,0.777100026607513,2024-11-20,0.7606,0.7634,0.7634,0.7606,3.0,0.777100026607513
1732204800000,0.6899,0.6899,0.6899,0.6899,0,0.689899981021881,2024-11-21,0.6899,0.6899,0.6899,0.6899,0.0,0.689899981021881
1732464000000,0.6555,0.6555,0.6555,0.6555,10,0.685699999332428,2024-11-24,0.6555,0.6555,0.6555,0.6555,10.0,0.685699999332428
1732550400000,0.6626,0.6626,0.6626,0.6626,0,0.662599980831146,2024-11-25,0.6626,0.6626,0.6626,0.6626,0.0,0.662599980831146
1732636800000,0.6214,0.7046,0.6214,0.706,32,0.718400001525879,2024-11-26,0.7046,0.6214,0.706,0.6214,32.0,0.718400001525879
1732723200000,0.7061,0.6723,0.6721,0.7061,469,0.68120002746582,2024-11-27,0.6723,0.7061,0.7061,0.6721,469.0,0.68120002746582
1732809600000,0.6903,0.7288,0.6812,0.7613,60,0.732100009918213,2024-11-28,0.7288,0.6903,0.7613,0.6812,60.0,0.732100009918213
1733068800000,0.7628,0.751,0.75,0.7628,3,0.763899981975555,2024-12-01,0.751,0.7628,0.7628,0.75,3.0,0.763899981975555
1733155200000,0.7455,0.7541,0.7455,0.7541,16,0.750699996948242,2024-12-02,0.7541,0.7455,0.7541,0.7455,16.0,0.750699996948242
1733241600000,0.7226,0.7226,0.7226,0.7226,0,0.722599983215332,2024-12-03,0.7226,0.7226,0.7226,0.7226,0.0,0.722599983215332
1733328000000,0.7288,0.7236,0.7236,0.7288,7,0.729399979114532,2024-12-04,0.7236,0.7288,0.7288,0.7236,7.0,0.729399979114532
1733414400000,0.7621,0.7749,0.7621,0.7934,123,0.776199996471405,2024-12-05,0.7749,0.7621,0.7934,0.7621,123.0,0.776199996471405
1733673600000,0.7469,0.7433,0.7433,0.7469,3,0.758099973201752,2024-12-08,0.7433,0.7469,0.7469,0.7433,3.0,0.758099973201752
1733760000000,0.8741,0.7927,0.7927,0.8866,7,0.772899985313416,2024-12-09,0.7927,0.8741,0.8866,0.7927,7.0,0.772899985313416
1733846400000,0.7697,0.7697,0.7697,0.7697,0,0.769699990749359,2024-12-10,0.7697,0.7697,0.7697,0.7697,0.0,0.769699990749359
1733932800000,0.7741,0.7951,0.7685,0.7951,16,0.799600005149841,2024-12-11,0.7951,0.7741,0.7951,0.7685,16.0,0.799600005149841
1734019200000,0.7607,0.764,0.7607,0.764,2,0.744400024414063,2024-12-12,0.764,0.7607,0.764,0.7607,2.0,0.744400024414063
1734278400000,0.706,0.6985,0.6985,0.71,3,0.709200024604797,2024-12-15,0.6985,0.706,0.71,0.6985,3.0,0.709200024604797
1734364800000,0.7099,0.708,0.708,0.7099,11,0.710099995136261,2024-12-16,0.708,0.7099,0.7099,0.708,11.0,0.710099995136261
1734451200000,0.71,0.7052,0.7052,0.7213,16,0.708899974822998,2024-12-17,0.7052,0.71,0.7213,0.7052,16.0,0.708899974822998
1734537600000,0.694,0.72,0.694,0.72,3,0.722100019454956,2024-12-18,0.72,0.694,0.72,0.694,3.0,0.722100019454956
1734624000000,0.723,0.713,0.713,0.723,6,0.719600021839142,2024-12-19,0.713,0.723,0.723,0.713,6.0,0.719600021839142
1734883200000,0.7258,0.6983,0.6936,0.7258,3,0.698300004005432,2024-12-22,0.6983,0.7258,0.7258,0.6936,3.0,0.698300004005432
1734969600000,0.7028,0.7154,0.6993,0.7172,65,0.721800029277802,2024-12-23,0.7154,0.7028,0.7172,0.6993,65.0,0.721800029277802
1735056000000,0.712,0.698,0.6979,0.7169,148,0.705999970436096,2024-12-24,0.698,0.712,0.7169,0.6979,148.0,0.705999970436096
